shard,model_entity_id
shard_000_00036.tar,AF-0000000066887307
shard_000_00037.tar,AF-0000000066935247
shard_000_00037.tar,AF-0000000066940793
shard_000_00037.tar,AF-0000000066946060
shard_000_00038.tar,AF-0000000067007308
shard_000_00039.tar,AF-0000000067048323
shard_000_00039.tar,AF-0000000067077957
shard_000_00039.tar,AF-0000000067087971
shard_000_00039.tar,AF-0000000067089578
shard_000_00040.tar,AF-0000000067105333
shard_000_00040.tar,AF-0000000067108861
shard_000_00040.tar,AF-0000000067137285
shard_000_00040.tar,AF-0000000067143515
shard_000_00040.tar,AF-0000000067145298
shard_000_00042.tar,AF-0000000067186918
shard_000_00042.tar,AF-0000000067205835
shard_000_00042.tar,AF-0000000067210330
shard_000_00042.tar,AF-0000000067219525
shard_000_00042.tar,AF-0000000067220730
shard_000_00042.tar,AF-0000000067222395
shard_000_00043.tar,AF-0000000067259880
shard_000_00043.tar,AF-0000000067281140
shard_000_00043.tar,AF-0000000067282246
shard_000_00044.tar,AF-0000000067355998
shard_000_00045.tar,AF-0000000067387933
shard_000_00046.tar,AF-0000000067462199
shard_000_00048.tar,AF-0000000067535335
shard_000_00048.tar,AF-0000000067535493
shard_000_00059.tar,AF-0000000068091095
shard_000_00059.tar,AF-0000000068091170
shard_000_00059.tar,AF-0000000068091252
shard_000_00059.tar,AF-0000000068091273
shard_000_00059.tar,AF-0000000068091394
shard_000_00059.tar,AF-0000000068091731
shard_000_00059.tar,AF-0000000068091747
shard_000_00059.tar,AF-0000000068107472
shard_000_00059.tar,AF-0000000068107613
shard_000_00059.tar,AF-0000000068107667
shard_000_00062.tar,AF-0000000068243180
shard_000_00062.tar,AF-0000000068243279
shard_000_00062.tar,AF-0000000068243557
shard_000_00068.tar,AF-0000000068618146
shard_000_00068.tar,AF-0000000068618240
shard_000_00122.tar,AF-0000000072004465
shard_000_00122.tar,AF-0000000072025667
shard_000_00141.tar,AF-0000000073060736
shard_000_00141.tar,AF-0000000073060899
shard_000_00141.tar,AF-0000000073061274
shard_000_00141.tar,AF-0000000073061281
shard_000_00141.tar,AF-0000000073061377
shard_000_00141.tar,AF-0000000073076696
shard_000_00141.tar,AF-0000000073076712
shard_000_00141.tar,AF-0000000073077300
shard_000_00141.tar,AF-0000000073077455
shard_000_00150.tar,AF-0000000073505164
shard_000_00150.tar,AF-0000000073512543
shard_000_00151.tar,AF-0000000073607321
shard_000_00151.tar,AF-0000000073620418
shard_000_00156.tar,AF-0000000074003610
shard_000_00156.tar,AF-0000000074006907
shard_000_00156.tar,AF-0000000074011568
shard_000_00156.tar,AF-0000000074011928
shard_000_00156.tar,AF-0000000074014372
shard_000_00156.tar,AF-0000000074015508
shard_000_00156.tar,AF-0000000074015774
shard_000_00156.tar,AF-0000000074016375
shard_000_00156.tar,AF-0000000074017380
shard_000_00156.tar,AF-0000000074018212
shard_000_00156.tar,AF-0000000074020038
shard_000_00156.tar,AF-0000000074020482
shard_000_00156.tar,AF-0000000074020996
shard_000_00156.tar,AF-0000000074021339
shard_000_00156.tar,AF-0000000074022228
shard_000_00157.tar,AF-0000000074025329
shard_000_00157.tar,AF-0000000074026200
shard_000_00157.tar,AF-0000000074028378
shard_000_00157.tar,AF-0000000074029867
shard_000_00157.tar,AF-0000000074030122
shard_000_00157.tar,AF-0000000074030769
shard_000_00157.tar,AF-0000000074031850
shard_000_00157.tar,AF-0000000074031880
shard_000_00157.tar,AF-0000000074033420
shard_000_00157.tar,AF-0000000074033600
shard_000_00157.tar,AF-0000000074035991
shard_000_00157.tar,AF-0000000074036075
shard_000_00157.tar,AF-0000000074038063
shard_000_00157.tar,AF-0000000074038158
shard_000_00157.tar,AF-0000000074038730
shard_000_00157.tar,AF-0000000074039492
shard_000_00157.tar,AF-0000000074039546
shard_000_00157.tar,AF-0000000074039888
shard_000_00157.tar,AF-0000000074040239
shard_000_00157.tar,AF-0000000074040836
shard_000_00157.tar,AF-0000000074040998
shard_000_00157.tar,AF-0000000074041131
shard_000_00157.tar,AF-0000000074041516
shard_000_00157.tar,AF-0000000074041969
shard_000_00157.tar,AF-0000000074042097
shard_000_00157.tar,AF-0000000074042592
shard_000_00157.tar,AF-0000000074042763
shard_000_00157.tar,AF-0000000074042961
shard_000_00157.tar,AF-0000000074043265
shard_000_00157.tar,AF-0000000074043318
shard_000_00157.tar,AF-0000000074043479
shard_000_00157.tar,AF-0000000074043746
shard_000_00157.tar,AF-0000000074043945
shard_000_00157.tar,AF-0000000074044187
shard_000_00157.tar,AF-0000000074044263
shard_000_00157.tar,AF-0000000074044523
shard_000_00157.tar,AF-0000000074044603
shard_000_00157.tar,AF-0000000074045704
shard_000_00157.tar,AF-0000000074045711
shard_000_00157.tar,AF-0000000074046597
shard_000_00157.tar,AF-0000000074046931
shard_000_00157.tar,AF-0000000074047065
shard_000_00157.tar,AF-0000000074047197
shard_000_00157.tar,AF-0000000074047436
shard_000_00157.tar,AF-0000000074047888
shard_000_00157.tar,AF-0000000074048457
shard_000_00157.tar,AF-0000000074048581
shard_000_00157.tar,AF-0000000074048720
shard_000_00157.tar,AF-0000000074049470
shard_000_00157.tar,AF-0000000074049471
shard_000_00157.tar,AF-0000000074049836
shard_000_00157.tar,AF-0000000074050136
shard_000_00157.tar,AF-0000000074050280
shard_000_00157.tar,AF-0000000074050430
shard_000_00157.tar,AF-0000000074050618
shard_000_00157.tar,AF-0000000074051658
shard_000_00157.tar,AF-0000000074052760
shard_000_00157.tar,AF-0000000074052778
shard_000_00157.tar,AF-0000000074053209
shard_000_00157.tar,AF-0000000074053302
shard_000_00157.tar,AF-0000000074054286
shard_000_00157.tar,AF-0000000074054847
