shard,n_workers,n_requested,n_ok,n_missing_404,n_failed,n_needing_retry,total_retries,elapsed_seconds,files_per_second,wire_mb_per_second,mean_wire_kb,mean_decoded_kb,compression_ratio
shard_000_00000.tar,8,2000,2000,0,0,2,2,214.6,9.32,1.26,135.1,592.1,4.38
shard_000_00001.tar,8,2000,2000,0,0,0,0,203.3,9.84,1.15,117.1,509.0,4.35
shard_000_00002.tar,8,2000,2000,0,0,0,0,200.5,9.97,1.2,120.1,524.1,4.36
shard_000_00003.tar,8,2000,2000,0,0,2,2,194.6,10.28,1.15,111.8,486.5,4.35
shard_000_00004.tar,8,2000,2000,0,0,0,0,180.7,11.07,1.09,98.7,425.5,4.31
shard_000_00005.tar,8,2000,2000,0,0,0,0,184.5,10.84,1.16,107.3,464.6,4.33
shard_000_00006.tar,8,2000,2000,0,0,0,0,177.9,11.24,1.13,100.9,435.1,4.31
shard_000_00007.tar,8,2000,2000,0,0,0,0,176.3,11.34,1.16,102.0,440.4,4.32
shard_000_00008.tar,8,2000,2000,0,0,0,0,210.0,9.52,1.46,152.8,673.8,4.41
shard_000_00009.tar,8,2000,2000,0,0,0,0,178.1,11.23,1.17,104.2,449.4,4.31
shard_000_00010.tar,8,2000,2000,0,0,0,0,181.9,10.99,1.25,113.6,494.8,4.36
shard_000_00011.tar,8,2000,2000,0,0,3,3,167.3,11.96,1.09,91.4,392.5,4.29
shard_000_00012.tar,8,2000,2000,0,0,3,3,181.7,11.01,1.14,103.1,445.0,4.31
shard_000_00013.tar,8,2000,2000,0,0,0,0,172.3,11.61,1.08,93.0,400.1,4.3
shard_000_00014.tar,8,2000,2000,0,0,0,0,187.8,10.65,1.28,120.1,523.7,4.36
shard_000_00015.tar,8,2000,2000,0,0,0,0,186.7,10.71,1.24,116.1,505.2,4.35
shard_000_00016.tar,8,2000,2000,0,0,0,0,174.9,11.44,1.15,100.5,433.2,4.31
shard_000_00017.tar,8,2000,2000,0,0,0,0,178.7,11.19,1.17,104.8,453.5,4.33
shard_000_00018.tar,8,2000,2000,0,0,2,2,186.7,10.71,1.23,115.1,500.1,4.35
shard_000_00019.tar,8,2000,2000,0,0,0,0,176.7,11.32,1.2,105.6,457.8,4.33
shard_000_00020.tar,8,2000,2000,0,0,0,0,161.0,12.42,1.03,82.5,352.1,4.27
shard_000_00021.tar,8,2000,2000,0,0,0,0,164.5,12.16,1.04,85.8,366.1,4.27
shard_000_00022.tar,8,2000,2000,0,0,0,0,197.4,10.13,1.36,134.3,589.1,4.39
shard_000_00023.tar,8,2000,2000,0,0,5,5,206.8,9.67,1.44,149.3,656.8,4.4
shard_000_00024.tar,8,2000,2000,0,0,2,2,204.6,9.78,1.38,141.4,621.1,4.39
shard_000_00025.tar,8,2000,2000,0,0,4,4,183.3,10.91,1.12,102.9,443.9,4.31
shard_000_00026.tar,8,2000,2000,0,0,0,0,180.1,11.11,1.09,98.2,423.2,4.31
shard_000_00027.tar,8,2000,2000,0,0,0,0,172.1,11.62,1.02,87.6,374.7,4.27
shard_000_00028.tar,8,2000,2000,0,0,0,0,189.7,10.54,1.32,125.1,547.7,4.38
shard_000_00029.tar,8,2000,2000,0,0,1,1,192.6,10.39,1.37,132.0,578.5,4.38
shard_000_00030.tar,8,2000,2000,0,0,2,2,194.4,10.29,1.29,125.4,547.4,4.37
shard_000_00031.tar,8,2000,2000,0,0,0,0,200.0,10.0,1.35,134.7,591.1,4.39
shard_000_00032.tar,8,2000,2000,0,0,1,1,188.3,10.62,1.24,117.2,511.1,4.36
shard_000_00033.tar,8,2000,2000,0,0,1,1,189.7,10.54,1.27,120.6,525.4,4.36
shard_000_00034.tar,8,2000,2000,0,0,0,0,189.1,10.57,1.25,118.0,513.2,4.35
shard_000_00035.tar,8,2000,2000,0,0,0,0,190.4,10.51,1.32,125.6,548.0,4.36
shard_000_00036.tar,8,2000,1999,1,0,0,0,196.0,10.2,1.32,129.6,567.0,4.37
shard_000_00037.tar,8,2000,1997,3,0,4,4,196.0,10.19,1.32,129.9,568.0,4.37
shard_000_00038.tar,8,2000,1999,1,0,7,7,196.0,10.2,1.29,126.3,551.5,4.37
shard_000_00039.tar,8,2000,1996,4,0,0,0,207.0,9.64,1.45,150.2,662.9,4.41
shard_000_00040.tar,8,2000,1995,5,0,0,0,206.2,9.67,1.42,147.2,648.8,4.41
shard_000_00041.tar,8,2000,2000,0,0,0,0,192.3,10.4,1.32,126.8,554.5,4.37
shard_000_00042.tar,8,2000,1994,6,0,0,0,202.0,9.87,1.43,145.0,638.2,4.4
shard_000_00043.tar,8,2000,1997,3,0,0,0,189.4,10.55,1.29,122.1,532.0,4.36
shard_000_00044.tar,8,2000,1999,1,0,0,0,187.3,10.67,1.29,121.2,527.6,4.35
shard_000_00045.tar,8,2000,1999,1,0,0,0,194.6,10.27,1.35,131.5,575.1,4.37
shard_000_00046.tar,8,2000,1999,1,0,4,4,196.6,10.17,1.44,141.3,621.2,4.4
shard_000_00047.tar,8,2000,2000,0,0,0,0,181.9,10.99,1.3,118.1,515.1,4.36
shard_000_00048.tar,8,2000,1998,2,0,0,0,196.8,10.15,1.43,141.0,619.8,4.4
shard_000_00049.tar,8,2000,2000,0,0,0,0,198.6,10.07,1.46,144.6,633.4,4.38
shard_000_00050.tar,8,2000,2000,0,0,0,0,204.2,9.79,1.53,156.2,683.9,4.38
shard_000_00051.tar,8,2000,2000,0,0,0,0,189.3,10.56,1.31,123.8,537.3,4.34
shard_000_00052.tar,8,2000,2000,0,0,0,0,187.9,10.64,1.26,118.4,512.2,4.32
shard_000_00053.tar,8,2000,2000,0,0,4,4,196.2,10.2,1.29,126.8,550.7,4.34
shard_000_00054.tar,8,2000,2000,0,0,0,0,188.1,10.63,1.24,116.7,504.2,4.32
shard_000_00055.tar,8,2000,2000,0,0,0,0,195.2,10.25,1.33,129.6,563.8,4.35
shard_000_00056.tar,8,2000,2000,0,0,1,1,186.6,10.72,1.25,116.7,504.8,4.32
shard_000_00057.tar,8,2000,2000,0,0,0,0,195.6,10.23,1.31,127.9,554.3,4.34
shard_000_00058.tar,8,2000,2000,0,0,0,0,192.9,10.37,1.35,130.2,567.0,4.36
shard_000_00059.tar,8,2000,1990,10,0,0,0,185.3,10.74,1.4,130.7,572.2,4.38
shard_000_00060.tar,8,2000,2000,0,0,0,0,190.9,10.47,1.3,124.5,543.8,4.37
shard_000_00061.tar,8,2000,2000,0,0,0,0,183.3,10.91,1.28,117.5,511.0,4.35
shard_000_00062.tar,8,2000,1997,3,0,2,2,187.8,10.64,1.41,132.6,581.2,4.38
shard_000_00063.tar,8,2000,2000,0,0,0,0,185.9,10.76,1.38,128.1,559.5,4.37
shard_000_00064.tar,8,2000,2000,0,0,0,0,186.7,10.71,1.37,128.2,561.2,4.38
shard_000_00065.tar,8,2000,2000,0,0,0,0,186.3,10.73,1.42,132.7,581.8,4.38
shard_000_00066.tar,8,2000,2000,0,0,2,2,193.4,10.34,1.47,142.0,624.6,4.4
shard_000_00067.tar,8,2000,2000,0,0,1,1,174.7,11.45,1.43,125.1,546.2,4.37
shard_000_00068.tar,8,2000,1998,2,0,0,0,194.8,10.26,1.52,148.1,652.6,4.41
shard_000_00069.tar,8,2000,2000,0,0,0,0,206.2,9.7,1.64,169.2,750.8,4.44
shard_000_00070.tar,8,2000,2000,0,0,0,0,200.0,10.0,1.41,141.4,622.2,4.4
shard_000_00071.tar,8,2000,2000,0,0,0,0,190.9,10.47,1.33,126.6,553.9,4.38
shard_000_00072.tar,8,2000,2000,0,0,0,0,201.8,9.91,1.41,142.6,627.8,4.4
shard_000_00073.tar,8,2000,2000,0,0,0,0,184.9,10.82,1.25,115.8,503.0,4.34
shard_000_00074.tar,8,2000,2000,0,0,0,0,186.3,10.73,1.26,117.5,510.7,4.35
shard_000_00075.tar,8,2000,2000,0,0,0,0,181.7,11.01,1.21,110.3,478.0,4.33
shard_000_00076.tar,8,2000,2000,0,0,0,0,193.0,10.37,1.38,133.1,583.6,4.38
shard_000_00077.tar,8,2000,2000,0,0,0,0,194.4,10.29,1.42,137.8,605.6,4.39
shard_000_00078.tar,8,2000,2000,0,0,0,0,203.0,9.85,1.49,151.1,666.5,4.41
shard_000_00079.tar,8,2000,2000,0,0,0,0,189.3,10.56,1.3,123.2,536.8,4.36
shard_000_00080.tar,8,2000,2000,0,0,0,0,187.4,10.67,1.41,132.4,579.1,4.37
shard_000_00081.tar,8,2000,2000,0,0,0,0,195.4,10.24,1.4,136.6,599.2,4.39
shard_000_00082.tar,8,2000,2000,0,0,0,0,184.5,10.84,1.25,115.4,501.3,4.35
shard_000_00083.tar,8,2000,2000,0,0,0,0,173.3,11.54,1.14,98.7,425.3,4.31
shard_000_00084.tar,8,2000,2000,0,0,0,0,175.9,11.37,1.22,107.6,466.6,4.34
