stem,kind,wire_bytes,decoded_bytes,elapsed_seconds,attempts,http_status,worker,n_workers,runner_tag,hostname,platform,timestamp_utc
AF-0000000065760022,homodimer,40677,161933,0.5805,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065760376,homodimer,76774,325991,0.6393,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065761076,homodimer,58629,240812,0.5473,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065760534,homodimer,99557,429381,0.8293,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065761985,homodimer,100817,434383,0.6549,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065762141,homodimer,64271,268505,0.6413,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065762431,homodimer,137427,604141,0.9067,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065763257,homodimer,178783,788890,0.7324,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065764203,homodimer,197679,880797,0.9271,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065763651,homodimer,212683,943977,0.9859,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065764632,homodimer,137456,601347,0.8591,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065765792,homodimer,172218,767040,0.9021,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065766748,homodimer,177809,789593,0.8546,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065767046,homodimer,116684,505211,0.8222,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065767144,homodimer,119094,516702,0.6787,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065767241,homodimer,117826,511009,0.7216,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065767340,homodimer,117205,508802,0.813,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065767672,homodimer,202691,895339,0.8778,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065770090,homodimer,32500,126284,0.4548,1,-200,1,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065769148,homodimer,190467,843229,0.9354,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:13:31+00:00
AF-0000000065760022,homodimer,40677,161933,0.3942,1,-200,0,2,local,jacob-TP-X1,Linux-5.15.0-187-generic-x86_64-with-glibc2.35,2026-09-02T23:14:02+00:00
