dataset,metric,threshold,n_rows,n_pass,pass_rate,window_min,window_median,window_max,estimated_passing
homodimer,ipTM,0.23,143142,55996,0.391192,0.040842,0.388534,0.986003,8406483
homodimer,ipTM,0.3,143142,42277,0.29535,0.02599,0.282832,0.982893,6346898
homodimer,ipTM,0.4,143142,31770,0.221947,0.00495,0.198797,0.981337,4769519
homodimer,ipTM,0.5,143142,24339,0.170034,0.002475,0.142076,0.981337,3653929
homodimer,ipTM,0.6,143142,18337,0.128104,0.001238,0.100784,0.981337,2752870
homodimer,ipTM,0.7,143142,13189,0.092139,0.001238,0.066977,0.981337,1980018
homodimer,ipTM,0.75,143142,10848,0.075785,0.0,0.052814,0.979782,1628572
homodimer,ipTM,0.8,143142,8439,0.058955,0.0,0.038442,0.979782,1266918
homodimer,ipTM,0.9,143142,3844,0.026854,0.0,0.01213,0.968896,577086
homodimer,pDockQ,0.23,143142,45898,0.320647,0.024752,0.317145,0.981337,6890506
homodimer,pDockQ,0.3,143142,38457,0.268663,0.012376,0.26061,0.981337,5773415
homodimer,pDockQ,0.4,143142,30385,0.212272,0.006188,0.201238,0.981337,4561594
homodimer,pDockQ,0.5,143142,22913,0.160072,0.002475,0.14166,0.979782,3439848
homodimer,pDockQ,0.6,143142,14963,0.104533,0.001238,0.089298,0.979782,2246343
homodimer,pDockQ,0.7,143142,5138,0.035894,0.0,0.027904,0.979782,771350
homodimer,pDockQ,0.75,143142,0,0.0,0.0,0.0,0.0,0
homodimer,pDockQ,0.8,143142,0,0.0,0.0,0.0,0.0,0
homodimer,pDockQ,0.9,143142,0,0.0,0.0,0.0,0.0,0
homodimer,pDockQ2_max,0.23,143142,16265,0.113628,0.001238,0.092114,0.979782,2441807
homodimer,pDockQ2_max,0.3,143142,14507,0.101347,0.001238,0.080142,0.979782,2177885
homodimer,pDockQ2_max,0.4,143142,12331,0.086145,0.0,0.066115,0.979782,1851210
homodimer,pDockQ2_max,0.5,143142,10407,0.072704,0.0,0.053212,0.979782,1562366
homodimer,pDockQ2_max,0.6,143142,8715,0.060884,0.0,0.042166,0.976672,1308352
homodimer,pDockQ2_max,0.7,143142,6924,0.048372,0.0,0.031835,0.96423,1039476
homodimer,pDockQ2_max,0.75,143142,5854,0.040896,0.0,0.026612,0.951788,878841
homodimer,pDockQ2_max,0.8,143142,4720,0.032974,0.0,0.020556,0.926905,708597
homodimer,pDockQ2_max,0.9,143142,1464,0.010228,0.0,0.00565,0.175739,219785
homodimer,ipSAE_max,0.23,143142,31800,0.222157,0.002475,0.214535,0.982893,4774023
homodimer,ipSAE_max,0.3,143142,29528,0.206285,0.001238,0.19624,0.981337,4432935
homodimer,ipSAE_max,0.4,143142,26136,0.182588,0.001238,0.166999,0.981337,3923706
homodimer,ipSAE_max,0.5,143142,21883,0.152876,0.001238,0.138143,0.981337,3285218
homodimer,ipSAE_max,0.6,143142,17595,0.12292,0.001238,0.105844,0.979782,2641476
homodimer,ipSAE_max,0.7,143142,12923,0.090281,0.001238,0.074386,0.979782,1940085
homodimer,ipSAE_max,0.75,143142,10522,0.073507,0.001238,0.058141,0.979782,1579631
homodimer,ipSAE_max,0.8,143142,8125,0.056762,0.0,0.04,0.979782,1219778
homodimer,ipSAE_max,0.9,143142,2404,0.016795,0.0,0.008259,0.968896,360904
homodimer,ipSAE_min,0.23,143142,31566,0.220522,0.001238,0.213163,0.982893,4738893
homodimer,ipSAE_min,0.3,143142,29330,0.204901,0.001238,0.194542,0.981337,4403210
homodimer,ipSAE_min,0.4,143142,25899,0.180932,0.001238,0.166293,0.981337,3888126
homodimer,ipSAE_min,0.5,143142,21673,0.151409,0.001238,0.13529,0.981337,3253692
homodimer,ipSAE_min,0.6,143142,17435,0.121802,0.001238,0.105261,0.979782,2617455
homodimer,ipSAE_min,0.7,143142,12800,0.089422,0.001238,0.073119,0.979782,1921619
homodimer,ipSAE_min,0.75,143142,10424,0.072823,0.001238,0.056905,0.979782,1564919
homodimer,ipSAE_min,0.8,143142,8033,0.056119,0.0,0.039057,0.979782,1205966
homodimer,ipSAE_min,0.9,143142,2368,0.016543,0.0,0.008259,0.968896,355500
homodimer,LIS_max,0.203,143142,35311,0.246685,0.014851,0.23871,0.982893,5301117
homodimer,LIS_max,0.23,143142,33170,0.231728,0.013614,0.228135,0.981337,4979696
homodimer,LIS_max,0.3,143142,27882,0.194786,0.003713,0.184646,0.981337,4185827
homodimer,LIS_max,0.4,143142,20325,0.141992,0.002475,0.127214,0.979782,3051321
homodimer,LIS_max,0.5,143142,12941,0.090407,0.002475,0.07332,0.979782,1942787
homodimer,LIS_max,0.6,143142,6136,0.042867,0.0,0.029111,0.979782,921176
homodimer,LIS_max,0.7,143142,934,0.006525,0.0,0.003075,0.057543,140218
homodimer,LIS_max,0.75,143142,194,0.001355,0.0,0.0,0.015714,29125
homodimer,LIS_max,0.8,143142,13,9.1e-05,0.0,0.0,0.004431,1952
homodimer,LIS_max,0.9,143142,0,0.0,0.0,0.0,0.0,0
homodimer,authors_gate (ipSAE>=0.6 & pDockQ2>=0.23),,143142,13063,0.091259,0.001238,0.070995,0.979782,1961102
homodimer,ipTM>=0.8 & zero backbone clashes,,143142,8066,0.05635,0.0,0.035834,0.979782,1210920
heterodimer,ipTM,0.23,123597,42006,0.339863,0.108844,0.32195,0.752053,2581310
heterodimer,ipTM,0.3,123597,22890,0.185199,0.04932,0.171946,0.35342,1406613
heterodimer,ipTM,0.4,123597,12177,0.098522,0.02551,0.093275,0.181965,748289
heterodimer,ipTM,0.5,123597,7118,0.05759,0.008503,0.055423,0.116904,437408
heterodimer,ipTM,0.6,123597,4146,0.033545,0.003273,0.031173,0.088468,254776
heterodimer,ipTM,0.7,123597,2177,0.017614,0.0,0.016052,0.07109,133779
heterodimer,ipTM,0.75,123597,1541,0.012468,0.0,0.009877,0.06793,94696
heterodimer,ipTM,0.8,123597,930,0.007524,0.0,0.00626,0.041074,57149
heterodimer,ipTM,0.9,123597,110,0.00089,0.0,0.0,0.016026,6760
heterodimer,pDockQ,0.23,123597,21407,0.1732,0.001675,0.164424,0.4832,1315481
heterodimer,pDockQ,0.3,123597,14006,0.11332,0.001675,0.102967,0.3792,860682
heterodimer,pDockQ,0.4,123597,7788,0.063011,0.0,0.054207,0.2512,478580
heterodimer,pDockQ,0.5,123597,3969,0.032112,0.0,0.024995,0.1696,243899
heterodimer,pDockQ,0.6,123597,1646,0.013317,0.0,0.009959,0.0656,101148
heterodimer,pDockQ,0.7,123597,235,0.001901,0.0,0.001534,0.019355,14441
heterodimer,pDockQ,0.75,123597,0,0.0,0.0,0.0,0.0,0
heterodimer,pDockQ,0.8,123597,0,0.0,0.0,0.0,0.0,0
heterodimer,pDockQ,0.9,123597,0,0.0,0.0,0.0,0.0,0
heterodimer,pDockQ2_max,0.23,123597,1914,0.015486,0.0,0.012841,0.053398,117617
heterodimer,pDockQ2_max,0.3,123597,1508,0.012201,0.0,0.009748,0.048544,92668
heterodimer,pDockQ2_max,0.4,123597,1084,0.00877,0.0,0.00652,0.040453,66613
heterodimer,pDockQ2_max,0.5,123597,742,0.006003,0.0,0.004648,0.037217,45597
heterodimer,pDockQ2_max,0.6,123597,484,0.003916,0.0,0.001675,0.027508,29742
heterodimer,pDockQ2_max,0.7,123597,287,0.002322,0.0,0.001584,0.021036,17636
heterodimer,pDockQ2_max,0.75,123597,193,0.001562,0.0,0.0,0.016181,11860
heterodimer,pDockQ2_max,0.8,123597,115,0.00093,0.0,0.0,0.014423,7067
heterodimer,pDockQ2_max,0.9,123597,24,0.000194,0.0,0.0,0.009615,1475
heterodimer,ipSAE_max,0.23,123597,6632,0.053658,0.010204,0.049752,0.13871,407543
heterodimer,ipSAE_max,0.3,123597,5579,0.045139,0.008183,0.042208,0.132258,342835
heterodimer,ipSAE_max,0.4,123597,4282,0.034645,0.003401,0.031647,0.112903,263133
heterodimer,ipSAE_max,0.5,123597,3161,0.025575,0.003273,0.023716,0.077409,194247
heterodimer,ipSAE_max,0.6,123597,2159,0.017468,0.0,0.015339,0.06951,132673
heterodimer,ipSAE_max,0.7,123597,1251,0.010122,0.0,0.008947,0.04127,76875
heterodimer,ipSAE_max,0.75,123597,782,0.006327,0.0,0.004942,0.033333,48055
heterodimer,ipSAE_max,0.8,123597,415,0.003358,0.0,0.003099,0.019769,25502
heterodimer,ipSAE_max,0.9,123597,14,0.000113,0.0,0.0,0.004942,860
heterodimer,ipSAE_min,0.23,123597,4326,0.035001,0.003401,0.031899,0.11129,265837
heterodimer,ipSAE_min,0.3,123597,3614,0.02924,0.001701,0.026425,0.108065,222084
heterodimer,ipSAE_min,0.4,123597,2705,0.021886,0.0,0.019528,0.090323,166225
heterodimer,ipSAE_min,0.5,123597,1901,0.015381,0.0,0.013781,0.053659,116818
heterodimer,ipSAE_min,0.6,123597,1225,0.009911,0.0,0.008313,0.039683,75277
heterodimer,ipSAE_min,0.7,123597,591,0.004782,0.0,0.003295,0.021417,36318
heterodimer,ipSAE_min,0.75,123597,316,0.002557,0.0,0.001625,0.016026,19419
heterodimer,ipSAE_min,0.8,123597,133,0.001076,0.0,0.0,0.014423,8173
heterodimer,ipSAE_min,0.9,123597,5,4e-05,0.0,0.0,0.001642,307
heterodimer,LIS_max,0.203,123597,9108,0.073691,0.0288,0.069749,0.156452,559695
heterodimer,LIS_max,0.23,123597,7701,0.062307,0.019481,0.059395,0.146774,473234
heterodimer,LIS_max,0.3,123597,4957,0.040106,0.00487,0.037375,0.112903,304612
heterodimer,LIS_max,0.4,123597,2524,0.020421,0.001623,0.017728,0.075806,155102
heterodimer,LIS_max,0.5,123597,1029,0.008325,0.0,0.006436,0.038035,63233
heterodimer,LIS_max,0.6,123597,317,0.002565,0.0,0.001604,0.022654,19480
heterodimer,LIS_max,0.7,123597,65,0.000526,0.0,0.0,0.014563,3994
heterodimer,LIS_max,0.75,123597,4,3.2e-05,0.0,0.0,0.001645,246
heterodimer,LIS_max,0.8,123597,0,0.0,0.0,0.0,0.0,0
heterodimer,LIS_max,0.9,123597,0,0.0,0.0,0.0,0.0,0
heterodimer,authors_gate (ipSAE>=0.6 & pDockQ2>=0.23),,123597,1141,0.009232,0.0,0.006734,0.047393,70116
heterodimer,ipTM>=0.8 & zero backbone clashes,,123597,641,0.005186,0.0,0.003376,0.036335,39390
heterodimer,declared passes_quality_threshold,,123597,1141,0.009232,0.0,0.006734,0.047393,70116
