dataset,metric,n_scored,mean,frac_zero,max,p5,p10,p25,p50,p75,p90,p95,p99
homodimer,ipTM,143142,0.28637,0.0,0.97,0.09,0.11,0.14,0.19,0.35,0.67,0.82,0.94
homodimer,pDockQ,143142,0.206754,0.011681,0.741873,0.022349,0.024759,0.03539,0.096665,0.331052,0.60745,0.681897,0.73197
homodimer,pDockQ2_max,143142,0.087997,0.011681,0.957037,0.008058,0.008285,0.00882,0.009954,0.022314,0.308755,0.686745,0.900823
homodimer,ipSAE_max,143142,0.147097,0.593935,0.949734,0.0,0.0,0.0,0.0,0.11789,0.67098,0.818511,0.91448
homodimer,ipSAE_min,143142,0.145784,0.59951,0.949588,0.0,0.0,0.0,0.0,0.111664,0.667705,0.817193,0.913956
homodimer,LIS_max,143142,0.129223,0.5156,0.827551,0.0,0.0,0.0,0.0,0.196865,0.480214,0.585085,0.68781
heterodimer,ipTM,123597,0.229485,0.0,0.964,0.0837,0.1056,0.1475,0.1936,0.2627,0.3976,0.5269,0.7748
heterodimer,pDockQ,123597,0.132025,0.073011,0.737329,0.0,0.019808,0.039955,0.085072,0.174066,0.321531,0.435889,0.622206
heterodimer,pDockQ2_max,123597,0.020053,0.073011,0.940948,0.0,0.008166,0.008805,0.00954,0.011378,0.01811,0.036984,0.361583
heterodimer,ipSAE_max,123597,0.033359,0.767381,0.932549,0.0,0.0,0.0,0.0,0.0,0.020143,0.258947,0.701848
heterodimer,ipSAE_min,123597,0.021856,0.841218,0.928026,0.0,0.0,0.0,0.0,0.0,0.013589,0.101605,0.598548
heterodimer,LIS_max,123597,0.044808,0.673997,0.766579,0.0,0.0,0.0,0.0,0.040513,0.156073,0.263957,0.483335
