dataset,window,byte_offset,n_rows,top_organism,top_organism_share,iptm_ge_0.8,authors_gate
homodimer,0,14991077,698,Mus musculus,0.0258,0.235,0.3811
homodimer,1,44973231,643,Staphylococcus aureus,0.0451,0.9798,0.9798
homodimer,2,74955385,681,Staphylococcus aureus,0.0543,0.1395,0.2731
homodimer,3,104937539,808,Staphylococcus aureus,0.0161,0.0,0.0012
homodimer,4,134919693,708,Escherichia coli,0.0551,0.1483,0.1963
homodimer,5,164901847,780,Mus musculus,1.0,0.0154,0.0321
homodimer,6,194884001,739,Dictyostelium discoideum,0.9919,0.0379,0.0474
homodimer,7,224866155,753,Homo sapiens,0.9987,0.0173,0.0637
homodimer,8,254848309,772,Zea mays,0.9987,0.0363,0.0648
homodimer,9,284830463,743,Glycine max,0.996,0.0485,0.0754
homodimer,10,314812618,711,Oryza sativa subsp. japonica,1.0,0.0338,0.0549
homodimer,11,344794772,777,Sus scrofa,0.9884,0.0309,0.0631
homodimer,12,374776926,718,Canis lupus familiaris,0.968,0.0362,0.071
homodimer,13,404759080,736,Triticum aestivum,0.9823,0.0666,0.1033
homodimer,14,434741234,728,Laccaria bicolor,0.9876,0.0371,0.0632
homodimer,15,464723388,782,Ovis aries,0.9847,0.0384,0.0742
homodimer,16,494705542,708,Oreochromis niloticus,0.8842,0.0636,0.0904
homodimer,17,524687696,724,Nicotiana tabacum,0.9972,0.0414,0.0856
homodimer,18,554669850,738,Xenopus laevis,0.9878,0.0203,0.042
homodimer,19,584652004,754,Aedes aegypti,0.866,0.0796,0.1034
homodimer,20,614634159,765,Bombyx mori,0.9987,0.0693,0.1033
homodimer,21,644616313,707,Rhynchophorus ferrugineus,0.9986,0.0467,0.058
homodimer,22,674598467,681,Vitis vinifera (Grape),0.8473,0.0455,0.0881
homodimer,23,704580621,734,Pseudonaja textilis,0.9959,0.0422,0.0913
homodimer,24,734562775,668,Arachis hypogaea (Peanut),0.997,0.0314,0.0509
homodimer,25,764544929,727,Oncorhynchus mykiss,0.978,0.055,0.088
homodimer,26,794527083,740,Pan troglodytes,0.9676,0.0243,0.0608
homodimer,27,824509237,715,Tuber melanosporum,0.9762,0.0713,0.0979
homodimer,28,854491391,760,Solanum tuberosum,0.975,0.0421,0.0618
homodimer,29,884473545,761,Magallana gigas,0.9737,0.0394,0.071
homodimer,30,914455700,754,Vicia faba,0.996,0.0517,0.0875
homodimer,31,944437854,688,Musa acuminata subsp. malaccensis,0.9767,0.0451,0.0814
homodimer,32,974420008,739,Aspergillus niger,0.9783,0.0988,0.1245
homodimer,33,1004402162,724,Araneus ventricosus,0.9669,0.0028,0.0138
homodimer,34,1034384316,730,Araneus ventricosus,0.9767,0.0055,0.0192
homodimer,35,1064366470,728,Juglans regia,0.9698,0.0398,0.0865
homodimer,36,1094348624,737,Camelus bactrianus,0.9824,0.0326,0.0868
homodimer,37,1124330778,729,Takifugu rubripes,0.9986,0.0645,0.1111
homodimer,38,1154312932,681,Actinoplanes teichomyceticus,1.0,0.2085,0.2658
homodimer,39,1184295086,738,Heterocephalus glaber,0.9986,0.0298,0.061
homodimer,40,1214277241,721,Brassica oleracea var. oleracea,1.0,0.0236,0.0472
homodimer,41,1244259395,751,Serinus canaria,1.0,0.0413,0.0759
homodimer,42,1274241549,692,Amblyomma americanum (Lone star tick),0.526,0.0202,0.039
homodimer,43,1304223703,707,Helianthus annuus,1.0,0.0212,0.0509
homodimer,44,1334205857,747,Anolis carolinensis,0.992,0.0268,0.0656
homodimer,45,1364188011,731,Physcomitrium patens,1.0,0.0424,0.0752
homodimer,46,1394170165,743,Chenopodium quinoa,0.9973,0.0431,0.0727
homodimer,47,1424152319,720,Strongylocentrotus purpuratus,0.9639,0.025,0.0556
homodimer,48,1454134473,730,Dermatophagoides farinae,1.0,0.0192,0.0466
homodimer,49,1484116627,741,Cyprinus carpio,0.9892,0.054,0.085
homodimer,50,1514098782,669,Rhinolophus ferrumequinum (Greater horseshoe bat),0.5426,0.0299,0.0732
homodimer,51,1544080936,668,Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis),0.503,0.0509,0.0898
homodimer,52,1574063090,656,Elaeis guineensis var. tenera (Oil palm),0.5595,0.0442,0.0945
homodimer,53,1604045244,653,Cervus elaphus hippelaphus (European red deer),0.3002,0.0597,0.0888
homodimer,54,1634027398,655,Gasterosteus aculeatus aculeatus (three-spined stickleback),0.5878,0.0412,0.084
homodimer,55,1664009552,637,Trichonephila clavipes (Golden silk orbweaver) (Nephila clavipes),0.5856,0.0031,0.0141
homodimer,56,1693991706,676,Scandinavium goeteborgense,1.0,0.2322,0.2722
homodimer,57,1723973860,712,Symbiodinium microadriaticum,0.9944,0.0042,0.0126
homodimer,58,1753956014,745,Meleagris gallopavo,0.9987,0.0376,0.0765
homodimer,59,1783938168,699,Nyctereutes procyonoides,0.9971,0.0329,0.0629
homodimer,60,1813920323,740,Lottia gigantea,0.9986,0.0459,0.0581
homodimer,61,1843902477,761,Meloidogyne incognita,0.9974,0.021,0.0434
homodimer,62,1873884631,719,Galemys pyrenaicus,0.9889,0.025,0.0529
homodimer,63,1903866785,720,Camelus dromedarius,0.9944,0.0306,0.0569
homodimer,64,1933848939,725,Tribolium castaneum,0.9972,0.0441,0.0593
homodimer,65,1963831093,626,Oncorhynchus kisutch (Coho salmon) (Salmo kisutch),0.9585,0.0511,0.099
homodimer,66,1993813247,692,Brettanomyces naardenensis,0.9668,0.1084,0.1301
homodimer,67,2023795401,723,Prunus persica,0.9613,0.0443,0.0954
homodimer,68,2053777555,699,Mycobacterium tuberculosis,0.97,0.1903,0.2418
homodimer,69,2083759709,711,Ambrosia artemisiifolia,0.9719,0.0323,0.0703
homodimer,70,2113741864,725,Bos mutus grunniens,0.9628,0.029,0.0607
homodimer,71,2143724018,701,Sparus aurata (Gilthead sea bream),0.5521,0.0485,0.0956
homodimer,72,2173706172,648,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),0.5787,0.0015,0.0062
homodimer,73,2203688326,675,Camellia sinensis var. sinensis,1.0,0.0267,0.0637
homodimer,74,2233670480,750,Plasmodium gonderi,1.0,0.024,0.0427
homodimer,75,2263652634,723,Schizosaccharomyces japonicus,1.0,0.0526,0.0899
homodimer,76,2293634788,700,Halorarum salinum,1.0,0.24,0.2771
homodimer,77,2323616942,729,Artemisia annua,0.9986,0.0261,0.0576
homodimer,78,2353599096,707,Cyberlindnera jadinii,0.9958,0.1018,0.1301
homodimer,79,2383581250,708,Saponaria officinalis,0.9972,0.0466,0.0833
homodimer,80,2413563405,727,Acropora cervicornis,0.9972,0.0206,0.0316
homodimer,81,2443545559,723,Zingiber officinale,0.9972,0.0277,0.0512
homodimer,82,2473527713,769,Mus spicilegus,0.9987,0.0338,0.0741
homodimer,83,2503509867,727,Cucurbita maxima,0.9986,0.055,0.099
homodimer,84,2533492021,718,Asparagus officinalis,1.0,0.0279,0.0529
homodimer,85,2563474175,716,Aptenodytes forsteri,0.9972,0.0601,0.1006
homodimer,86,2593456329,744,Theobroma cacao,0.9973,0.0296,0.0618
homodimer,87,2623438483,749,Callithrix jacchus,0.9933,0.0307,0.0587
homodimer,88,2653420637,760,Setaria italica,0.9961,0.0355,0.0592
homodimer,89,2683402791,753,Trichomonas vaginalis,0.9987,0.0173,0.0252
homodimer,90,2713384946,739,Prymnesium parvum,0.9932,0.0433,0.0677
homodimer,91,2743367100,683,Cocos nucifera (Coconut palm),0.5813,0.0293,0.0747
homodimer,92,2773349254,726,Dicentrarchus labrax,0.9904,0.0331,0.1074
homodimer,93,2803331408,691,Mytilus galloprovincialis,0.8726,0.0145,0.042
homodimer,94,2833313562,728,Zalophus californianus,0.989,0.0412,0.0865
homodimer,95,2863295716,684,Callorhinchus milii (Ghost shark),0.6944,0.0731,0.0965
homodimer,96,2893277870,742,Glycine soja,0.996,0.0391,0.0674
homodimer,97,2923260024,686,Saccharopolyspora spinosa,0.9271,0.2522,0.2945
homodimer,98,2953242178,677,Ascaris lumbricoides (Giant roundworm),0.9985,0.0103,0.0295
homodimer,99,2983224332,705,Aegilops tauschii subsp. strangulata,0.9986,0.017,0.0426
homodimer,100,3013206487,707,Aegilops tauschii subsp. strangulata,0.9943,0.0311,0.0594
homodimer,101,3043188641,721,Ailuropoda melanoleuca,0.9889,0.0305,0.0791
homodimer,102,3073170795,686,Leptospira biflexa serovar Patoc,0.5219,0.1953,0.2478
homodimer,103,3103152949,717,Mugilogobius chulae,0.993,0.0195,0.046
homodimer,104,3133135103,720,Vitis vinifera,0.9958,0.0625,0.0972
homodimer,105,3163117257,712,Dioscorea zingiberensis,0.9522,0.0295,0.0674
homodimer,106,3193099411,721,Vanilla planifolia,0.9459,0.0347,0.0555
homodimer,107,3223081565,739,Crocodylus porosus,0.9878,0.0419,0.0798
homodimer,108,3253063719,725,Terrapene triunguis,0.9903,0.0386,0.0869
homodimer,109,3283045873,726,Lynx pardinus,0.989,0.0289,0.0744
homodimer,110,3313028028,720,Erysiphe neolycopersici,1.0,0.0347,0.0667
homodimer,111,3343010182,746,Quercus suber,0.9973,0.0255,0.0536
homodimer,112,3372992336,708,Teladorsagia circumcincta,0.9986,0.0071,0.0184
homodimer,113,3402974490,706,Batrachochytrium dendrobatidis,0.9929,0.0368,0.0666
homodimer,114,3432956644,759,Toxocara canis,0.9987,0.0277,0.0474
homodimer,115,3462938798,717,Ancylostoma ceylanicum,1.0,0.0209,0.0335
homodimer,116,3492920952,743,Tetraodon nigroviridis,0.9946,0.0417,0.0861
homodimer,117,3522903106,716,Cecembia lonarensis,1.0,0.2137,0.2346
homodimer,118,3552885260,722,Gorilla gorilla gorilla,0.9972,0.0305,0.054
homodimer,119,3582867414,720,Lymnaea stagnalis,0.9972,0.0486,0.0708
homodimer,120,3612849569,700,Champsocephalus gunnari,0.9957,0.0357,0.0714
homodimer,121,3642831723,732,Carnegiea gigantea,1.0,0.0219,0.0492
homodimer,122,3672813877,748,Anser cygnoides,0.9799,0.0495,0.0869
homodimer,123,3702796031,704,Darwinula stevensoni,1.0,0.0256,0.0511
homodimer,124,3732778185,703,Blautia wexlerae,0.7838,0.2219,0.2632
homodimer,125,3762760339,706,Gossypium tomentosum,1.0,0.0467,0.0722
homodimer,126,3792742493,735,Elysia chlorotica,0.9973,0.0354,0.0517
homodimer,127,3822724647,702,Enhydra lutris kenyoni,0.9915,0.0228,0.0584
homodimer,128,3852706801,755,Pan paniscus,0.9907,0.0252,0.0636
homodimer,129,3882688955,709,Aquilegia coerulea,0.9887,0.0367,0.0719
homodimer,130,3912671110,727,Nelumbo nucifera,0.9986,0.0426,0.0812
homodimer,131,3942653264,695,Streptomyces nodosus,1.0,0.2331,0.2892
homodimer,132,3972635418,677,Clostridium thermobutyricum,0.7356,0.1699,0.2053
homodimer,133,4002617572,687,Arabidopsis lyrata subsp. lyrata,0.9985,0.0349,0.0728
homodimer,134,4032599726,740,Caenorhabditis japonica,1.0,0.0257,0.0473
homodimer,135,4062581880,711,Ralstonia nicotianae,1.0,0.1913,0.2644
homodimer,136,4092564034,718,Tuber aestivum,0.9958,0.0724,0.0933
homodimer,137,4122546188,736,Clitoria ternatea,1.0,0.0516,0.0774
homodimer,138,4152528342,669,Petrolisthes manimaculis,1.0,0.0299,0.0598
homodimer,139,4182510496,721,Hibiscus trionum,1.0,0.0416,0.0818
homodimer,140,4212492651,597,Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus),0.9079,0.0168,0.0352
homodimer,141,4242474805,756,Acrobeloides nanus,1.0,0.037,0.0529
homodimer,142,4272456959,726,Thlaspi arvense,1.0,0.0413,0.0702
homodimer,143,4302439113,738,Gekko japonicus,0.9946,0.0285,0.0732
homodimer,144,4332421267,736,Castor canadensis,0.9986,0.0272,0.0679
homodimer,145,4362403421,737,Varanus komodoensis,0.9837,0.0244,0.0529
homodimer,146,4392385575,742,Neovison vison,0.9852,0.0296,0.058
homodimer,147,4422367729,708,Oncorhynchus tshawytscha,0.9944,0.048,0.0918
homodimer,148,4452349883,645,Arabidopsis thaliana x Arabidopsis arenosa,1.0,0.0465,0.0884
homodimer,149,4482332037,733,Leishmania enriettii,1.0,0.03,0.0423
homodimer,150,4512314192,763,Cannabis sativa,0.9948,0.0393,0.0655
homodimer,151,4542296346,749,Quercus lobata,0.9947,0.0427,0.0774
homodimer,152,4572278500,741,Bison bison bison,0.9933,0.0391,0.0621
homodimer,153,4602260654,732,Chanos chanos,0.9918,0.0451,0.0997
homodimer,154,4632242808,767,Panagrellus redivivus,0.9961,0.0274,0.0469
homodimer,155,4662224962,729,Strigops habroptila,0.9918,0.0562,0.1043
homodimer,156,4692207116,719,Balaenoptera physalus,0.9986,0.0209,0.0348
homodimer,157,4722189270,704,Puccinia graminis f. sp. tritici,1.0,0.0199,0.0412
homodimer,158,4752171424,714,Temnothorax longispinosus,1.0,0.021,0.0462
homodimer,159,4782153578,706,Alternaria arborescens,1.0,0.1034,0.1501
homodimer,160,4812135733,674,Paenirhodobacter populi,1.0,0.2834,0.3249
homodimer,161,4842117887,767,Trifolium medium,1.0,0.0052,0.0091
homodimer,162,4872100041,756,Esox lucius,0.9907,0.0675,0.1019
homodimer,163,4902082195,750,Poecilia mexicana,1.0,0.04,0.092
homodimer,164,4932064349,588,Cynara cardunculus var. scolymus (Globe artichoke) (Cynara scolymus),0.9779,0.0289,0.0697
homodimer,165,4962046503,685,Phytophthora palmivora,1.0,0.0248,0.0365
homodimer,166,4992028657,634,Zymoseptoria tritici (strain ST99CH_3D7),0.9921,0.1151,0.1467
homodimer,167,5022010811,638,Hypsibius exemplaris (Freshwater tardigrade),0.9796,0.0282,0.0408
homodimer,168,5051992965,681,Acidithiobacillus ferrooxidans,1.0,0.1821,0.232
homodimer,169,5081975119,724,Leptomonas pyrrhocoris,0.9986,0.058,0.0787
homodimer,170,5111957274,716,Rhizophagus irregularis,0.9958,0.0209,0.0363
homodimer,171,5141939428,700,Pneumocystis jirovecii,0.5743,0.0986,0.13
homodimer,172,5171921582,746,Latimeria chalumnae,0.996,0.0442,0.0885
homodimer,173,5201903736,704,Flavobacterium frigoris,0.9986,0.2102,0.2429
homodimer,174,5231885890,738,Heterostelium pallidum,0.9892,0.0407,0.0596
homodimer,175,5261868044,691,Herbaspirillum seropedicae,1.0,0.2258,0.2952
homodimer,176,5291850198,723,Cherax quadricarinatus,0.9972,0.0235,0.0443
homodimer,177,5321832352,575,Lolium multiflorum (Italian ryegrass) (Lolium perenne subsp. multiflorum),0.9896,0.0122,0.0487
homodimer,178,5351814506,649,Cirrhinus molitorella (mud carp),0.9707,0.0385,0.0847
homodimer,179,5381796660,690,Linum tenue,1.0,0.0449,0.0652
homodimer,180,5411778815,642,Pleuronectes platessa (European plaice),0.9938,0.0171,0.0421
homodimer,181,5441760969,676,Penicillium citrinum,1.0,0.1627,0.2027
homodimer,182,5471743123,732,Cyprinus carpio carpio,1.0,0.026,0.0587
homodimer,183,5501725277,753,Nephila pilipes,1.0,0.0133,0.0239
homodimer,184,5531707431,708,Hymenochirus boettgeri,1.0,0.0537,0.0833
homodimer,185,5561689585,725,Solanum pennellii,0.9959,0.0607,0.1159
homodimer,186,5591671739,739,Sciurus vulgaris,0.9919,0.0244,0.0595
homodimer,187,5621653893,731,Nannospalax galili,0.9959,0.0451,0.0917
homodimer,188,5651636047,737,Coptis chinensis,1.0,0.0217,0.0448
homodimer,189,5681618201,680,Virgisporangium aurantiacum,1.0,0.2118,0.2441
homodimer,190,5711600356,729,Actinidia rufa,1.0,0.0233,0.0466
homodimer,191,5741582510,716,Dinoponera quadriceps,0.9972,0.0391,0.074
homodimer,192,5771564664,681,Arcanobacterium buesumense,1.0,0.2144,0.2614
homodimer,193,5801546818,723,Phytophthora fragariae,1.0,0.0124,0.0235
homodimer,194,5831528972,679,Triticum turgidum subsp. durum,1.0,0.0221,0.0427
homodimer,195,5861511126,682,Triticum turgidum subsp. durum,0.9971,0.0411,0.0718
homodimer,196,5891493280,763,Hucho hucho,0.9856,0.0419,0.0655
homodimer,197,5921475434,732,Malassezia restricta,0.9945,0.082,0.1107
homodimer,198,5951457588,726,Ancylostoma caninum,0.9986,0.0124,0.0303
homodimer,199,5981439742,722,Chlorella sorokiniana,0.9917,0.054,0.0859
heterodimer,0,6135070,626,4577,0.4089,0.008,0.0176
heterodimer,1,18405210,618,3847,1.0,0.0,0.0275
heterodimer,2,30675350,625,3847,1.0,0.0048,0.016
heterodimer,3,42945490,625,4577,0.3648,0.0128,0.0176
