n_protein_chains,n_assemblies
1,159411
2,105626
3,22423
4,29705
5,5170
6,11078
7,1575
8,4587
9,1410
10,1682
11,418
12,3309
13,384
14,678
15,366
16,704
17,177
18,566
19,144
20,525
21,192
22,204
23,101
24,1366
25,63
26,172
27,119
28,552
29,158
30,179
31,116
32,154
33,109
34,150
35,95
36,183
37,37
38,44
39,86
40,118
41,43
42,122
43,34
44,58
45,219
46,75
47,113
48,257
49,433
50,327
51,169
52,166
53,94
54,89
55,54
56,48
57,16
58,46
59,21
60,520
61,10
62,11
63,8
64,23
65,15
66,30
67,18
68,16
69,12
70,17
71,14
72,29
73,45
74,37
75,108
76,74
77,53
78,69
79,77
80,64
81,36
82,16
83,8
84,18
85,14
86,17
87,16
88,9
89,8
90,18
91,1
92,3
93,3
95,7
96,11
98,5
99,4
100,13
101,1
102,8
103,3
104,10
105,7
106,7
107,1
108,10
109,1
110,8
111,4
112,3
114,2
115,6
116,3
117,3
119,1
120,90
121,1
122,1
123,1
126,3
128,1
130,3
132,2
133,1
135,3
136,1
138,2
139,2
140,3
141,1
144,8
145,3
147,1
148,2
149,1
150,10
152,3
153,3
154,3
155,2
156,5
158,1
160,4
162,3
163,1
165,4
168,2
170,1
172,1
175,1
179,2
180,422
181,2
182,4
183,3
189,3
192,4
196,2
200,12
202,1
203,2
204,7
205,6
208,2
210,6
213,2
214,2
216,5
219,1
220,1
224,2
225,1
228,1
230,2
235,2
236,1
238,1
240,329
241,1
255,1
264,5
265,1
270,4
275,1
276,2
280,2
288,3
298,1
300,124
304,1
306,1
320,1
326,1
340,1
360,154
367,1
375,1
377,1
378,2
390,1
395,1
400,3
406,1
407,2
415,1
417,1
420,64
429,1
431,3
432,1
435,1
436,1
445,1
448,1
450,1
451,3
454,1
464,1
471,1
480,33
490,1
491,1
510,1
540,30
541,1
575,1
576,1
589,1
592,1
600,25
658,1
660,2
668,1
704,1
706,1
710,1
714,1
716,1
720,43
768,1
780,19
800,1
804,2
808,2
840,22
862,1
871,1
885,1
894,1
900,7
912,1
930,1
955,1
960,21
974,1
976,2
980,1
1020,3
1050,1
1067,1
1080,8
1096,1
1128,1
1140,3
1166,1
1176,1
1177,1
1200,9
1245,1
1260,3
1320,2
1342,1
1356,1
1368,1
1380,1
1440,1
1445,1
1500,3
1560,3
1574,1
1620,1
1668,2
1680,5
1740,1
1792,1
1800,1
1824,1
1845,1
1860,4
1863,1
1920,3
1996,1
2100,1
2160,1
2520,1
2580,1
2760,5
2820,1
3000,1
3060,4
3300,1
3540,1
3720,1
5040,1
5100,1
6900,1
8280,1
