year,n_entries_protein,n_entries_multichain,n_entries_heteromeric
1976,13,4,1
1977,23,9,5
1978,4,0,0
1979,10,3,3
1980,7,3,1
1981,14,4,1
1982,28,12,5
1983,35,14,8
1984,21,14,5
1985,18,9,5
1986,16,5,1
1987,18,4,1
1988,50,19,7
1989,64,39,9
1990,132,72,46
1991,170,69,28
1992,162,84,19
1993,640,269,92
1994,1234,590,236
1995,883,422,114
1996,1073,539,165
1997,1419,735,229
1998,1937,1068,347
1999,2226,1205,358
2000,2482,1363,411
2001,2690,1515,467
2002,2886,1610,490
2003,3990,2271,676
2004,5030,2765,770
2005,5186,2790,775
2006,6277,3440,983
2007,6990,3909,952
2008,6782,4011,1110
2009,7150,4165,1118
2010,7624,4679,1267
2011,7790,4578,1321
2012,8614,4835,1407
2013,9205,5463,1829
2014,9399,5697,1960
2015,9116,5374,1896
2016,10648,5864,2411
2017,10898,5733,2400
2018,11033,6290,2556
2019,11323,6897,2982
2020,13800,8215,3856
2021,12268,8084,4048
2022,14018,9170,4901
2023,14163,9664,4826
2024,15075,10277,5363
2025,17208,11795,6145
2026,10103,6943,3717
