protein_hash,seq_len,n_res,n_present_atoms,n_chains,is_monomer,mean_plddt,ptm,blob_bytes
09b909d77e74b9e24a21a583f40f6318,158,158,1308,1,True,0.5045259594917297,0.17587628960609436,10572
09b909d84f672ced9f6dcb553321cf1a,158,158,1317,1,True,0.7029750943183899,0.5462406277656555,10610
09b90fcab5f501b29bea931a3908ac5f,158,158,1349,1,True,0.4687914252281189,0.22347909212112427,10892
09b911122ffb20f57e360426bf65e5b0,158,158,1189,1,True,0.8728010058403015,0.824471116065979,9662
09b91238450bd2d42d5b715f21520d46,158,158,1162,1,True,0.9012922644615173,0.8856378793716431,9487
09b917b023bac3b1433ef832bc95cdd5,158,158,1215,1,True,0.8086714148521423,0.7647735476493835,9904
09b92936e9d44384308b21cab52f9bf0,158,158,1203,1,True,0.6426262855529785,0.5543867349624634,9855
09b92dde1ae951a2a72971598025060e,158,158,1219,1,True,0.5770646333694458,0.3411133289337158,9876
09b92edb95c58961671ea058957c74f6,158,158,1279,1,True,0.41967859864234924,0.12925219535827637,10072
09b8a047d4777a2bb52fd17e7841eec0,159,159,1181,1,True,0.5816729068756104,0.22455407679080963,9623
09b8a933662007f4dc687a344d9611b9,159,159,1298,1,True,0.4515984356403351,0.18346832692623138,10559
09b8ae8b93e736f644d38f9610aa94c9,159,159,1214,1,True,0.7283584475517273,0.29242634773254395,9649
09b8b241f8a91a3c258fedff209b145b,159,159,1234,1,True,0.6823463439941406,0.5285820960998535,10094
09b8b35680a269b4315e6c5440ec299b,159,159,1191,1,True,0.7951304912567139,0.7727582454681396,9783
09b8b7916beb7aa2b8dc1b5ff356b025,159,159,1260,1,True,0.47492530941963196,0.31041795015335083,10363
09b8ba719b1b0027bf665bb1ac44ccc0,159,159,1350,1,True,0.6861535906791687,0.5397824048995972,10819
09b8bbe0555440447bb4c903f309bd51,159,159,1201,1,True,0.6338969469070435,0.6477223634719849,9926
09b8bca2cbf133af982a142ef2fd8173,159,159,1325,1,True,0.3147755265235901,0.14832326769828796,10806
09b8be0b71a3f4873c9a49565031ce70,159,159,1200,1,True,0.524324357509613,0.4264686703681946,9853
09b8c0ab244d49cbfe2f10f3e216ca46,159,159,1182,1,True,0.7498716711997986,0.5855516791343689,9816
09b8c19ed563341a721a4a37fb0c36f4,159,159,1153,1,True,0.49010536074638367,0.37370049953460693,9607
09b8c505c9c97ff93527ee9283e3684e,159,159,1370,1,True,0.5837770104408264,0.20143036544322968,10725
09b8c6b086b261e3fd036a322355a345,159,159,1341,1,True,0.36798804998397827,0.20317421853542328,10800
09b8c707d76a89e75d15c289246e20d5,159,159,1288,1,True,0.7039104700088501,0.6954149007797241,10425
09b8c9c9b1697d901a1d4a53a811d1c9,159,159,1181,1,True,0.7796727418899536,0.578014075756073,9629
09b8d4cbb90e6d6c8d3869a78ebf6b3f,159,159,1230,1,True,0.8519651889801025,0.7202362418174744,10049
09b8d64d774e92259ec355f0fabf6b68,159,159,1292,1,True,0.6576767563819885,0.5258488059043884,10491
09b8db873960e80b1c0493ec88b6e237,159,159,1202,1,True,0.7118204236030579,0.5869554877281189,9795
09b8dc9f69933194dca4e53af4af0de3,159,159,1281,1,True,0.6522235870361328,0.4865378141403198,10390
09b8e305e5b746a0084c8b30db2a8ac0,159,159,1303,1,True,0.6458858251571655,0.44551077485084534,10525
09b8e34786479ab572bc1949e030fe6d,159,159,1199,1,True,0.6562700271606445,0.3269544541835785,9822
09b8e8003ca6791cd7e3e929ddd277d2,159,159,1214,1,True,0.6728072166442871,0.5870827436447144,9974
09b8e88efc303d1c1a916d3e1b6601d8,159,159,1186,1,True,0.4580504298210144,0.3006879985332489,9824
09b8e985197492be7370dbc70230152c,159,159,1273,1,True,0.5708240270614624,0.278403103351593,10354
09b8eedf5cc6e7223c16a8999566ef78,159,159,1300,1,True,0.6750040054321289,0.3738243579864502,10448
09b8f5bbe3cf3b08afd191b64446d809,159,159,1130,1,True,0.5650069713592529,0.38635656237602234,9216
09b902fef0c57cfd8a0f8b0471dd6188,159,159,1230,1,True,0.6313301920890808,0.30195584893226624,10031
09b906b93934f539f4cd1a03fbe815d2,159,159,1214,1,True,0.6547303795814514,0.6011754274368286,10049
09b910a43c6fa6797262eaf612cb05eb,159,159,1222,1,True,0.7835071682929993,0.7690067887306213,9979
09b916bf2e231dab68982a9c3dbf8be7,159,159,1261,1,True,0.6905440092086792,0.35914427042007446,10223
09b91ae2c5dbfeb87663a51afa35f79c,159,159,1238,1,True,0.5184481143951416,0.4941619634628296,10320
09b91cac02db9134f4b3845b2045a8b5,159,159,1307,1,True,0.5965766906738281,0.5382585525512695,10660
09b92424a72a53fb8e2aebc4d066931e,159,159,1261,1,True,0.5587831735610962,0.46641939878463745,10403
09b925a84853a0c6708071c02a4d5275,159,159,1213,1,True,0.6480489373207092,0.6169998049736023,9961
09b92d314d979a5ce74fa308afe28f4e,159,159,1246,1,True,0.532896876335144,0.38194409012794495,10093
09b92da4142e0935bf02549c63558a6b,159,159,1168,1,True,0.6386520862579346,0.47877153754234314,9629
09b937b6520e8157f9ea2191907be8cd,159,159,1254,1,True,0.6842617988586426,0.3494532108306885,9905
09b8b336b589fbf524b9923b5c0f8fb2,160,160,1173,1,True,0.5242811441421509,0.5089048147201538,9749
09b8b7f297cbcba9dc64a7bf4915f479,160,160,1241,1,True,0.8819237947463989,0.8702821135520935,10128
09b8be78d8180d574dbde59f07b47e24,160,160,1262,1,True,0.4223648011684418,0.13229361176490784,10331
09b8cc91b14dde9b0a8c92f8dd464439,160,160,1274,1,True,0.592359721660614,0.4656398892402649,10417
09b8ccbdd8fb4058cabe605d8db0d8d6,160,160,1331,1,True,0.8919320106506348,0.8032310009002686,10571
09b8cef8251a78fef0f53a86908ae154,160,160,1303,1,True,0.43858298659324646,0.1398320496082306,10232
09b8d954de2d030fb15c6cb903f53149,160,160,1245,1,True,0.2812733054161072,0.10229617357254028,10285
09b8da1ae092868adf4a2ec8277091ee,160,160,1260,1,True,0.8463654518127441,0.8244940638542175,10375
09b8dc1bae4f01156043604375ca51cd,160,160,1310,1,True,0.7167263031005859,0.4521193206310272,10486
09b8ec02167f61ab374db6003ab979ba,160,160,1279,1,True,0.3704516589641571,0.15404242277145386,10417
09b8ed4ea8d9729efdfa99ea42c794ba,160,160,1318,1,True,0.6391786336898804,0.2903306484222412,10609
09b8f14a211bebfd6c98d06a9decb861,160,160,1288,1,True,0.8830223083496094,0.7264524102210999,10279
09b8f2241d1397e414b1d57cf829dc83,160,160,1240,1,True,0.4436098635196686,0.1789512038230896,10035
