model_entity_id,kind,uniprot_1,uniprot_2,gene_1,gene_2,tax_1,tax_2,ipTM,ipSAE_AB,ipSAE_BA,pDockQ,pDockQ2_AB,n_clash_backbone,n_interactions,path,bytes
AF-0000000208170815,heterodimer,I1KGQ5,Q6T300,LOC100805119,LOC547737,3847,3847,0.8604,0.657802,0.727008,0.358941,0.849926,0.0,19.0,structures/AF-0000000208170815.cif,278878
AF-0000000208299550,heterodimer,A0A0P0VIN6,A0A0P0WNF9,Os02g0457300,Os05g0462900,39947,39947,0.7364,0.711325,0.704391,0.654002,0.451914,1.0,128.0,structures/AF-0000000208299550.cif,210431
AF-0000000207220315,heterodimer,K7K9Q0,K7M844,LOC100777531,LOC100803157,3847,3847,0.7393,0.717619,0.769592,0.686431,0.529519,0.0,140.0,structures/AF-0000000207220315.cif,674939
AF-0000000207244606,heterodimer,C6SZW2,K7MJB8,LOC100805631,LOC100796470,3847,3847,0.8807,0.614517,0.595059,0.36966,0.615018,0.0,37.0,structures/AF-0000000207244606.cif,688830
AF-0000000207244608,heterodimer,C6SZW2,K7L3Y8,LOC100805631,LOC100789233,3847,3847,0.895,0.632143,0.643001,0.391695,0.659713,0.0,37.0,structures/AF-0000000207244608.cif,687061
AF-0000000207302745,heterodimer,Q2MJR5,Q94C02,MIPS2,MIPS,3847,3847,0.9014,0.829694,0.828148,0.734984,0.723562,0.0,325.0,structures/AF-0000000207302745.cif,668707
AF-0000000203805733,heterodimer,O81775,Q9S752,GDU1,LOG2,3702,3702,0.5639,0.718427,0.257226,0.448865,0.27398,0.0,82.0,structures/AF-0000000203805733.cif,359753
AF-0000000203805746,heterodimer,Q8S8A0,Q9S752,GDU4,LOG2,3702,3702,0.5667,0.721527,0.236035,0.495433,0.340784,22.0,85.0,structures/AF-0000000203805746.cif,356897
AF-0000000210410642,heterodimer,O22151,Q9SPE6,GOS12,ASNAP2,3702,3702,0.8207,0.723742,0.541203,0.413295,0.541424,0.0,46.0,structures/AF-0000000210410642.cif,364937
AF-0000000210560337,heterodimer,P04401,P21183,Il5,Il5ra,10090,10090,0.7573,0.675029,0.613266,0.280559,0.308114,0.0,38.0,structures/AF-0000000210560337.cif,372910
AF-0000000210333334,heterodimer,K0EXB9,K0F4W5,atpE,O3I_033550,1133849,1133849,0.811,0.682748,0.65532,0.67735,0.608916,0.0,127.0,structures/AF-0000000210333334.cif,109749
AF-0000000209145741,heterodimer,A0A0I9NA30,A0A158PWP6,bma-lsm-6,bma-lsm-5.1,6279,6279,0.7774,0.70977,0.691957,0.460312,0.746448,0.0,34.0,structures/AF-0000000209145741.cif,122690
AF-0000000209145729,heterodimer,A0A0I9NA30,A0A0K0IZG6,bma-lsm-6,bma-snr-6,6279,6279,0.7983,0.70201,0.698938,0.487222,0.624086,0.0,45.0,structures/AF-0000000209145729.cif,125143
AF-0000000209144594,heterodimer,A0A0I9N7Z1,A0A0K0J065,bma-snr-7,bma-snr-5,6279,6279,0.8319,0.755889,0.698213,0.546042,0.84222,0.0,50.0,structures/AF-0000000209144594.cif,116572
AF-0000000209018867,heterodimer,A0A0D2F1L8,A0A0D2GT88,Z517_07108,Z517_10391,1442368,1442368,0.8524,0.685441,0.66553,0.44255,0.690747,0.0,38.0,structures/AF-0000000209018867.cif,377611
