query,target,query_kind,target_kind,multimer_tm,target_tm,query_chains,target_chains,both_chains_aligned
AF-0000000207244606,AF-0000000207244608,heterodimer,heterodimer,0.87603,0.87603,"A,B","A,B",True
AF-0000000209145729,AF-0000000209145741,heterodimer,heterodimer,0.81874,0.80938,"A,B","B,A",True
AF-0000000209144594,AF-0000000209145741,heterodimer,heterodimer,0.79949,0.74924,"A,B","A,B",True
AF-0000000209144594,AF-0000000209145729,heterodimer,heterodimer,0.79888,0.75732,"A,B","B,A",True
AF-0000000203805746,AF-0000000203805733,heterodimer,heterodimer,0.67016,0.66771,"A,B","A,B",True
AF-0000000208170815,AF-0000000211817646,heterodimer,heterodimer,0.51933,0.30701,A,A,False
AF-0000000208991763,AF-0000000203795496,heterodimer,heterodimer,0.46221,0.32061,"A,B","B,A",True
AF-0000000208991763,AF-0000000207172363,heterodimer,heterodimer,0.43074,0.34225,B,A,False
AF-0000000209333007,AF-0000000075778490,heterodimer,homodimer,0.42271,0.37624,A,B,False
AF-0000000207172363,AF-0000000203795496,heterodimer,heterodimer,0.36679,0.3202,"A,B","A,B",True
AF-0000000207142122,AF-0000000209124964,heterodimer,heterodimer,0.27573,0.28433,A,A,False
AF-0000000209575602,AF-0000000208299550,heterodimer,heterodimer,0.22129,0.40209,"A,B","B,A",True
AF-0000000210410642,AF-0000000209124964,heterodimer,heterodimer,0.21821,0.1093,B,A,False
AF-0000000210333334,AF-0000000207220315,heterodimer,heterodimer,0.20424,0.03434,"A,B","A,B",True
AF-0000000210410642,AF-0000000209336797,heterodimer,heterodimer,0.20193,0.10143,"A,B","A,B",True
AF-0000000210410642,AF-0000000207142122,heterodimer,heterodimer,0.19443,0.09445,B,A,False
AF-0000000210333334,AF-0000000209331179,heterodimer,heterodimer,0.1875,0.02955,A,B,False
AF-0000000069171398,AF-0000000211817646,homodimer,heterodimer,0.16701,0.04372,B,B,False
AF-0000000209145741,AF-0000000207244606,heterodimer,heterodimer,0.15773,0.02706,B,A,False
AF-0000000209145729,AF-0000000210560337,heterodimer,heterodimer,0.15499,0.04893,"A,B","A,B",True
AF-0000000209145729,AF-0000000209124964,heterodimer,heterodimer,0.15497,0.0246,B,A,False
AF-0000000209145729,AF-0000000073564954,heterodimer,homodimer,0.15491,0.05583,"A,B","A,B",True
AF-0000000209144594,AF-0000000073564954,heterodimer,homodimer,0.15447,0.05278,B,A,False
AF-0000000209145741,AF-0000000073564954,heterodimer,homodimer,0.15429,0.05625,"A,B","A,B",True
