protein_hash,seq_len,mean_plddt,ptm,afdb_tm,afdb_seq_id,contact_ratio,plddt_std,eval_tm,eval_seq_id,pass_length,pass_plddt,pass_ptm,pass_globularity,pass_plddt_uniform,pass_afdb_seq_novel,pass_afdb_struct_novel,pass_afdb_dedup,pass_eval_leakage,kept
09b909d77e74b9e24a21a583f40f6318,158,0.5045259594917297,0.1758762896060943,0.4243,0.002,0.2468354430379747,0.0756659541644388,,,True,False,False,False,False,True,True,True,True,False
09b909d84f672ced9f6dcb553321cf1a,158,0.7029750943183899,0.5462406277656555,0.5886,0.341,0.4113924050632911,0.1531155774780759,,,True,True,True,False,False,True,True,True,True,True
09b90fcab5f501b29bea931a3908ac5f,158,0.4687914252281189,0.2234790921211242,0.549,0.042,0.240506329113924,0.0731271879692868,,,True,False,False,False,False,True,True,True,True,False
09b911122ffb20f57e360426bf65e5b0,158,0.8728010058403015,0.824471116065979,0.7033,0.207,0.6329113924050633,0.1026741319712245,,,True,True,True,False,False,True,True,True,True,True
09b91238450bd2d42d5b715f21520d46,158,0.9012922644615172,0.8856378793716431,0.9917,0.556,0.8227848101265823,0.1007769121550097,,,True,True,True,False,False,False,True,True,True,False
09b917b023bac3b1433ef832bc95cdd5,158,0.8086714148521423,0.7647735476493835,0.7312,0.142,0.6645569620253164,0.106172749610819,,,True,True,True,False,False,True,True,True,True,True
09b92936e9d44384308b21cab52f9bf0,158,0.6426262855529785,0.5543867349624634,0.7439,0.015,0.4240506329113924,0.1159576184287881,,,True,False,True,False,False,True,True,True,True,False
09b92dde1ae951a2a72971598025060e,158,0.5770646333694458,0.3411133289337158,0.5418,0.279,0.2594936708860759,0.1437881643943331,,,True,False,False,False,False,True,True,True,True,False
09b92edb95c58961671ea058957c74f6,158,0.4196785986423492,0.1292521953582763,0.5095,0.025,0.4493670886075949,0.0612396162737946,,,True,False,False,False,False,True,True,True,True,False
09b8a047d4777a2bb52fd17e7841eec0,159,0.5816729068756104,0.2245540767908096,0.4716,0.011,0.0628930817610062,0.1124984467361613,,,True,False,False,False,False,True,True,True,True,False
09b8a933662007f4dc687a344d9611b9,159,0.4515984356403351,0.1834683269262313,0.4512,0.017,0.2515723270440251,0.0697609897003349,,,True,False,False,False,False,True,True,True,True,False
09b8ae8b93e736f644d38f9610aa94c9,159,0.7283584475517273,0.2924263477325439,0.6308,0.094,0.0125786163522012,0.1405526481197271,,,True,True,False,False,False,True,True,True,True,False
09b8b241f8a91a3c258fedff209b145b,159,0.6823463439941406,0.5285820960998535,0.553,0.128,0.4088050314465409,0.1741602946653508,,,True,False,True,False,False,True,True,True,True,False
09b8b35680a269b4315e6c5440ec299b,159,0.7951304912567139,0.7727582454681396,0.8607,0.173,0.6729559748427673,0.2134447416738558,,,True,True,True,False,False,True,True,True,True,True
09b8b7916beb7aa2b8dc1b5ff356b025,159,0.4749253094196319,0.3104179501533508,0.4301,0.039,0.7358490566037735,0.1636552897760815,,,True,False,False,False,False,True,True,True,True,False
09b8ba719b1b0027bf665bb1ac44ccc0,159,0.6861535906791687,0.5397824048995972,0.7145,0.008,0.4276729559748428,0.1584196468761981,,,True,False,True,False,False,True,True,True,True,False
09b8bbe0555440447bb4c903f309bd51,159,0.6338969469070435,0.6477223634719849,0.7066,0.128,0.779874213836478,0.1802272026636369,,,True,False,True,False,False,True,True,True,True,False
09b8bca2cbf133af982a142ef2fd8173,159,0.3147755265235901,0.1483232676982879,0.4956,0.02,0.7295597484276729,0.0813095807863948,,,True,False,False,False,False,True,True,True,True,False
09b8be0b71a3f4873c9a49565031ce70,159,0.524324357509613,0.4264686703681946,0.5837,0.017,0.4842767295597484,0.1352521286662463,,,True,False,False,False,False,True,True,True,True,False
09b8c0ab244d49cbfe2f10f3e216ca46,159,0.7498716711997986,0.5855516791343689,0.8068,0.16,0.7358490566037735,0.1004909784608465,,,True,True,True,False,False,True,True,True,True,True
09b8c19ed563341a721a4a37fb0c36f4,159,0.4901053607463836,0.3737004995346069,0.4364,0.028,0.710691823899371,0.0688809973627359,,,True,False,False,False,False,True,True,True,True,False
09b8c505c9c97ff93527ee9283e3684e,159,0.5837770104408264,0.2014303654432296,0.4917,0.026,0.0314465408805031,0.0916190514723463,,,True,False,False,False,False,True,True,True,True,False
09b8c6b086b261e3fd036a322355a345,159,0.3679880499839782,0.2031742185354232,0.517,0.025,0.6415094339622641,0.1044818620394948,,,True,False,False,False,False,True,True,True,True,False
09b8c707d76a89e75d15c289246e20d5,159,0.7039104700088501,0.6954149007797241,0.6772,0.022,0.5911949685534591,0.1312303541607138,,,True,True,True,False,False,True,True,True,True,True
09b8c9c9b1697d901a1d4a53a811d1c9,159,0.7796727418899536,0.578014075756073,0.7727,0.49,0.4842767295597484,0.1153465893679281,,,True,True,True,False,False,False,True,True,True,False
09b8d4cbb90e6d6c8d3869a78ebf6b3f,159,0.8519651889801025,0.7202362418174744,0.8304,0.296,0.6352201257861635,0.0942035324879278,,,True,True,True,False,False,True,True,True,True,True
09b8d64d774e92259ec355f0fabf6b68,159,0.6576767563819885,0.5258488059043884,0.5634,0.113,0.389937106918239,0.2163706778969849,,,True,False,True,False,False,True,True,True,True,False
09b8db873960e80b1c0493ec88b6e237,159,0.7118204236030579,0.5869554877281189,0.6226,0.218,0.7484276729559748,0.1535273737448706,,,True,True,True,False,False,True,True,True,True,True
09b8dc9f69933194dca4e53af4af0de3,159,0.6522235870361328,0.4865378141403198,0.5393,0.088,0.4591194968553459,0.153861810906367,,,True,False,False,False,False,True,True,True,True,False
09b8e305e5b746a0084c8b30db2a8ac0,159,0.6458858251571655,0.4455107748508453,0.4744,0.534,0.3773584905660377,0.1943635348810268,,,True,False,False,False,False,False,True,True,True,False
09b8e34786479ab572bc1949e030fe6d,159,0.6562700271606445,0.3269544541835785,0.4447,0.07,0.4528301886792453,0.1354893789557661,,,True,False,False,False,False,True,True,True,True,False
09b8e8003ca6791cd7e3e929ddd277d2,159,0.6728072166442871,0.5870827436447144,0.786,0.102,0.5786163522012578,0.1619375429263337,,,True,False,True,False,False,True,True,True,True,False
09b8e88efc303d1c1a916d3e1b6601d8,159,0.4580504298210144,0.3006879985332489,0.5133,0.028,0.7735849056603774,0.1261262447408955,,,True,False,False,False,False,True,True,True,True,False
09b8e985197492be7370dbc70230152c,159,0.5708240270614624,0.278403103351593,0.5662,0.052,0.3018867924528302,0.111835011503163,,,True,False,False,False,False,True,True,True,True,False
09b8eedf5cc6e7223c16a8999566ef78,159,0.6750040054321289,0.3738243579864502,0.4486,0.082,0.3144654088050314,0.1239990807775043,,,True,False,False,False,False,True,True,True,True,False
09b8f5bbe3cf3b08afd191b64446d809,159,0.5650069713592529,0.3863565623760223,0.4705,0.169,0.389937106918239,0.1971010079577797,,,True,False,False,False,False,True,True,True,True,False
09b902fef0c57cfd8a0f8b0471dd6188,159,0.6313301920890808,0.3019558489322662,0.4537,0.029,0.3773584905660377,0.1052386623239997,,,True,False,False,False,False,True,True,True,True,False
09b906b93934f539f4cd1a03fbe815d2,159,0.6547303795814514,0.6011754274368286,0.6226,0.124,0.6918238993710691,0.1699249586393211,,,True,False,True,False,False,True,True,True,True,False
09b910a43c6fa6797262eaf612cb05eb,159,0.7835071682929993,0.7690067887306213,0.8534,0.201,0.7295597484276729,0.097227538026106,,,True,True,True,False,False,True,True,True,True,True
09b916bf2e231dab68982a9c3dbf8be7,159,0.6905440092086792,0.3591442704200744,0.6502,0.238,0.0377358490566037,0.1540211690146394,,,True,False,False,False,False,True,True,True,True,False
09b91ae2c5dbfeb87663a51afa35f79c,159,0.5184481143951416,0.4941619634628296,0.6972,0.041,0.8553459119496856,0.1277248785973231,,,True,False,False,False,False,True,True,True,True,False
09b91cac02db9134f4b3845b2045a8b5,159,0.5965766906738281,0.5382585525512695,0.6429,0.11,0.6226415094339622,0.1893277818907064,,,True,False,True,False,False,True,True,True,True,False
09b92424a72a53fb8e2aebc4d066931e,159,0.5587831735610962,0.4664193987846374,0.4823,0.115,0.6666666666666666,0.1330492952227042,,,True,False,False,False,False,True,True,True,True,False
09b925a84853a0c6708071c02a4d5275,159,0.6480489373207092,0.6169998049736023,0.7904,0.157,0.5974842767295597,0.1057165876539127,,,True,False,True,False,False,True,True,True,True,False
09b92d314d979a5ce74fa308afe28f4e,159,0.532896876335144,0.3819440901279449,0.4178,0.019,0.3773584905660377,0.1766217491720786,,,True,False,False,False,False,True,True,True,True,False
09b92da4142e0935bf02549c63558a6b,159,0.6386520862579346,0.4787715375423431,0.4887,0.44,0.3962264150943396,0.2114046971186835,,,True,False,False,False,False,False,True,True,True,False
09b937b6520e8157f9ea2191907be8cd,159,0.6842617988586426,0.3494532108306885,0.6429,0.072,0.0943396226415094,0.1656947753054536,,,True,False,False,False,False,True,True,True,True,False
09b8b336b589fbf524b9923b5c0f8fb2,160,0.5242811441421509,0.5089048147201538,0.5742,0.091,0.66875,0.1531057465365022,,,True,False,True,False,False,True,True,True,True,False
09b8b7f297cbcba9dc64a7bf4915f479,160,0.8819237947463989,0.8702821135520935,0.9105,0.26,0.68125,0.0681577659008073,,,True,True,True,False,False,True,True,True,True,True
09b8be78d8180d574dbde59f07b47e24,160,0.4223648011684418,0.1322936117649078,0.4691,0.037,0.46875,0.0707515712635326,,,True,False,False,False,False,True,True,True,True,False
09b8cc91b14dde9b0a8c92f8dd464439,160,0.592359721660614,0.4656398892402649,0.5749,0.244,0.375,0.1467383584067289,,,True,False,False,False,False,True,True,True,True,False
09b8ccbdd8fb4058cabe605d8db0d8d6,160,0.8919320106506348,0.8032310009002686,0.882,0.301,0.8125,0.0516281543411545,,,True,True,True,False,False,True,True,True,True,True
09b8cef8251a78fef0f53a86908ae154,160,0.4385829865932464,0.1398320496082306,0.5388,0.029,0.0,0.114029475689318,,,True,False,False,False,False,True,True,True,True,False
09b8d954de2d030fb15c6cb903f53149,160,0.2812733054161072,0.1022961735725402,0.4137,0.014,0.73125,0.0577646971828277,,,True,False,False,False,False,True,True,True,True,False
09b8da1ae092868adf4a2ec8277091ee,160,0.8463654518127441,0.8244940638542175,0.8544,0.142,0.64375,0.1584013366222024,,,True,True,True,False,False,True,True,True,True,True
09b8dc1bae4f01156043604375ca51cd,160,0.7167263031005859,0.4521193206310272,0.6377,0.164,0.40625,0.1537846369768703,,,True,True,False,False,False,True,True,True,True,False
