stem,n_residues,best_target_rep,best_target_split,best_alntmscore,best_qtmscore,best_train_target_rep,best_train_alntmscore,best_train_qtmscore,best_train_fident,tm_field,n_hits_tm_ge_fold,n_train_hits_tm_ge_fold,verdict,fold_tm,redundant_tm,foldseek_version,db_snapshot_tag
09b89fea35662cd068a5db36b5d695fd,162,A0A7Y2GR17,train,0.5242,0.4901,A0A7Y2GR17,0.5242,0.4901,0.093,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a005905692d9dc16dd333b59ae9b,163,A0A3P3EW81,train,0.5736,0.5404,A0A3P3EW81,0.5736,0.5404,0.076,qtmscore,7,7,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a047d4777a2bb52fd17e7841eec0,159,A0A661J0K1,train,0.4822,0.4716,A0A661J0K1,0.4822,0.4716,0.011,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a1c17b4c39e5e0c985217436c48a,165,A0A7C5U889,train,0.7864,0.7031,A0A7C5U889,0.7864,0.7031,0.177,qtmscore,62,58,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a21265c85827437283df1f26ffde,165,A0A7S3L9L0,train,0.4778,0.435,A0A7S3L9L0,0.4778,0.435,0.011,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a2ae5182171ce320e2234c1812ed,164,E4X047,train,0.4926,0.4904,E4X047,0.4926,0.4904,0.025,qtmscore,0,0,novel_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a35e4f3c61eee0cf0ac3db93d25f,162,A0A7H0LQS2,train,0.5411,0.5227,A0A7H0LQS2,0.5411,0.5227,0.057,qtmscore,1,1,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a3adef3c6aef905f7d1cbd974a71,163,A0A6H1WTM8,train,0.8304,0.6035,A0A6H1WTM8,0.8304,0.6035,0.196,qtmscore,11,11,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a46fe7700155fbdbc6b7bab08935,165,A0A0F9UL68,train,0.7403,0.7249,A0A0F9UL68,0.7403,0.7249,0.05,qtmscore,41,38,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
09b8a484689c123173ac173004a86b79,161,A0A0B3AIE1,train,0.5625,0.5119,A0A0B3AIE1,0.5625,0.5119,0.023,qtmscore,1,1,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
