stem,query,target,alntmscore,qtmscore,ttmscore,lddt,fident,alnlen,evalue
09b89fea35662cd068a5db36b5d695fd,09b89fea35662cd068a5db36b5d695fd,7ctp-assembly1_A,0.4814,0.4572,0.1664,0.4738,0.011,518,0.2902
09b8a005905692d9dc16dd333b59ae9b,09b8a005905692d9dc16dd333b59ae9b,4c3y-assembly2_H,0.5598,0.5217,0.1952,0.5081,0.133,247,0.3386
09b8a047d4777a2bb52fd17e7841eec0,09b8a047d4777a2bb52fd17e7841eec0,3q84-assembly3_N,0.4756,0.4236,0.2697,0.6652,0.021,186,0.3269
09b8a1c17b4c39e5e0c985217436c48a,09b8a1c17b4c39e5e0c985217436c48a,1q8r-assembly1_A,0.8545,0.6262,0.848,0.6854,0.161,149,0.708
09b8a21265c85827437283df1f26ffde,09b8a21265c85827437283df1f26ffde,8j07-assembly1_g6,0.4721,0.4346,0.02597,0.4141,0.003,2476,0.2104
09b8a2ae5182171ce320e2234c1812ed,09b8a2ae5182171ce320e2234c1812ed,3vlk-assembly1_B,0.4318,0.4238,0.1269,0.2959,0.02,341,0.2551
09b8a35e4f3c61eee0cf0ac3db93d25f,09b8a35e4f3c61eee0cf0ac3db93d25f,8esq-assembly1_7,0.5069,0.4651,0.3315,0.4225,0.041,194,0.3727
09b8a3adef3c6aef905f7d1cbd974a71,09b8a3adef3c6aef905f7d1cbd974a71,2wus-assembly1_R,0.9307,0.4659,0.8498,0.8167,0.197,81,0.6437
09b8a46fe7700155fbdbc6b7bab08935,09b8a46fe7700155fbdbc6b7bab08935,9b42-assembly1_H,0.7364,0.713,0.651,0.6041,0.054,184,0.6507
09b8a484689c123173ac173004a86b79,09b8a484689c123173ac173004a86b79,3zqb-assembly2_B,0.6255,0.4695,0.3107,0.456,0.028,243,0.3679
09b8a515c554641a9f9fb5689cbfd06d,09b8a515c554641a9f9fb5689cbfd06d,9g8p-assembly1_M,0.3847,0.3829,0.08912,0.3605,0.01,556,0.2151
09b8a5bcf420320c5c54ad1a6de76c75,09b8a5bcf420320c5c54ad1a6de76c75,5vz0-assembly1_C,0.5262,0.5232,0.08752,0.6859,0.057,381,0.2964
